"","Provincia","Barrio","Edad.jefe.a.del.hogar","X.De.qué.forma.obtiene.el.agua.dentro.de.su.vivienda.","X.Se.ve.usted.obligado.a.a.comprar.agua.embotellada.para.consumo.del.hogar.","X.Cómo.es.la.presión.del.agua.","X.Tiene.capacidad.de.almacenamiento.de.agua.en.altura.","X.Cuántos.litros.de.almacenamiento.de.agua.posee.","X.Posee.baño.letrina.en.la.vivienda.","X.En.dónde.suele.higienizarse.si.no.es.en.su.vivienda.","X.Los.baños.son.compartidos.con.otros.grupos.familiares.","X.Su.baño.letrina.posee.descarga.de.agua.","X.Qué.tipo.de.desagüe.posee.la.vivienda.","X.Posee.instalación.de.agua.en.la.cocina.","X.Posee.instalación.de.agua.CALIENTE.en.la.cocina...De.qué.tipo.","X.Posee.instalación.de.agua.en.el.baño.","X.Posee.instalación.de.agua.CALIENTE.en.el.baño...De.qué.tipo.","X.Qué.fuentes.de.energía.utilizan.para.cocinar.en.su.vivienda.","NA..1","NA..2","NA..3","NA..4","X.Cuál.es.la.principal.fuente.de.energía.que.utiliza.para.calefaccionar.la.vivienda.","NA..5","NA..6","NA..7","NA..8","NA..9","X.Tenés.algún.tipo.de.ventilación.para.la.calefacción...solo.para.leña..carbón.y.gas.","X.Qué.tipo.de.conexión.posee.a.la.red.eléctrica.","X.Qué.tipo.de.tendido.eléctrico.posee.dentro.de.la.vivienda.","X.Sufrió.la.pérdida.de.electrodomésticos.o.herramientas.de.trabajo.por.las.condiciones.de.la.instalación.eléctrica.EN.EL.ÚLTIMO.AÑO.","X.Sufrió.incendios.dentro.de.su.vivienda.durante.el.último.año.debido.a.las.condiciones.de.la.instalación.eléctrica.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.verano.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.invierno.","X.Posee.servicio.de.internet.de.banda.ancha.en.la.vivienda.","En.su.hogar.hay.AL.MENOS.UN.celular.que.permite.el.acceso.a.internet.a.través.de.datos.móviles..abono.tarjeta.","X.Cuántos.abonos.prepagos.de.datos.móviles.sostienen.por.mes.en.la.vivienda.","X.Cuántas.computadoras.de.escritorio..notebooks.y.o.netbooks.poseen.en.la.vivienda.","X.Cuántos.teléfonos.y.o.tablets.poseen.en.la.vivienda."
"11","La Rioja","VIRGEN DESATANUDOS",41,"A través de una conexión con medidor a la red pública","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","No son frecuentes","Si a través de cable (coaxial o ADSL)","Sí",2,0,2
"12","La Rioja","VIRGEN DESATANUDOS",23,"A través de una conexión con medidor a la red pública","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","Sí","Si, con un calefón eléctrico","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","Si, tres o más","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","Si a través de cable (coaxial o ADSL)","Sí",0,0,2
"13","La Rioja","VIRGEN DESATANUDOS",28,"A través de una conexión con medidor a la red pública","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","No son frecuentes","No son frecuentes","Si a través de cable (coaxial o ADSL)","Sí",0,0,2
"14","La Rioja","VIRGEN DESATANUDOS",20,"No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","No posee descarga","No sabe","No",NA,"No",NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",2,0,2
"15","La Rioja","VIRGEN DESATANUDOS",32,"A través de una conexión con medidor a la red pública","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal informal/vecinal","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","Por lo menos 1 corte en el mes","Más de 4 cortes mensuales","Si a través de cable (coaxial o ADSL)","No",0,0,2
"16","Mendoza","CONSTITUCIÓN",37,"A través de una conexión con medidor a la red pública","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica","Gas natural (red de gas)",NA,NA,NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","Si, al menos dos electrodomésticos","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","No poseo internet de banda ancha","No",0,0,1
"17","Mendoza","CONSTITUCIÓN",45,"A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Leña/Carbón",NA,NA,"Sí","Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",1,0,1
"18","Chaco","Chacra 136",40,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si inálambrico/satelital","Sí",3,0,3
"19","Chaco","Chacra 136",52,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","No",NA,"Si, fuera de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal informal/vecinal","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,1
"20","Chaco","Chacra 136",45,"A través de una conexión con medidor a la red pública","Sí","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","Si, al menos un electrodoméstico o herramientas de trabajo","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si inálambrico/satelital","Sí",0,0,3
"21","Chaco","Chacra 136",44,"A través de una conexión con medidor a la red pública","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si inálambrico/satelital","Sí",1,2,5
"22","Chaco","Chacra 136",31,"A través de una conexión con medidor a la red pública","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, al menos dos electrodomésticos","No","Por lo menos 2 cortes en el mes","Por lo menos 2 cortes en el mes","Si a través de fibra óptica","No",0,1,2
"23","Chaco","Chacra 136",59,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","Si, con un calefón eléctrico","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",1,0,1
"24","Chaco","Chacra 136",45,"A través de una conexión con medidor a la red pública","No","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",2,0,2
"25","Chaco","Chacra 136",39,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Muy débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","A cámara séptica","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","No",0,0,5
"26","Chaco","Chacra 136",38,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Muy débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un termotanque a gas",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","Sí","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si inálambrico/satelital","No",0,1,4
"27","Santa Fe","Chalet",35,"No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","Sí","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 1 corte en el mes","Si a través de fibra óptica","Sí",3,0,3
"28","Chaco","Chacra 136",43,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, tres o más","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","Sí",0,0,4
"29","Chaco","Chacra 136",55,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,"No tengo para cocinar en mi vivienda",NA,NA,NA,"Leña/Carbón","No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","Sí",2,1,3
"30","Chaco","Chacra 136",42,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","Sí",2,2,4
"31","Chaco","Chacra 136",32,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","Si a través de fibra óptica","Sí",4,2,3
"32","Chaco","Chacra 136",36,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",1,0,2
"33","Santa Fe","Chalet",67,"A través de una conexión con medidor a la red pública","Sí","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión a través de un medidor comunitario a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Más de 4 cortes mensuales","Si a través de cable (coaxial o ADSL)","No",0,1,3
"34","Santa Fe","Chalet",52,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Buena","No",NA,"Si, fuera de la vivienda",NA,"Sí","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si a través de fibra óptica","Sí",1,0,2
"35","Chaco","Chacra 136",29,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 3 cortes en el mes","No poseo internet de banda ancha","Sí",2,0,2
"36","La Rioja","VIRGEN DESATANUDOS",26,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal informal/vecinal","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 3 cortes en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",1,0,2
"37","Mendoza","CONSTITUCIÓN",38,"No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Leña/Carbón",NA,NA,"Sí","Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,1
